PERIOD,YEAR,STATS_VALUE
June,1962,12.5
July,1962,10.9
August,1962,11.6
September,1962,12.7
October,1962,15.6
November,1962,16.2
December,1962,17.8
January,1963,19.3
February,1963,20.9
March,1963,18.2
April,1963,15.1
May,1963,13.3
June,1963,11.1
July,1963,10.8
August,1963,10.4
September,1963,12.6
October,1963,14.8
November,1963,15
December,1963,17.4
January,1964,18.1
February,1964,19.8
March,1964,18.2
April,1964,16.1
May,1964,12.7
June,1964,11.4
July,1964,11.8
August,1964,11.1
September,1964,12.3
October,1964,13.7
November,1964,15.4
December,1964,18.1
January,1965,19.9
February,1965,18.6
March,1965,17.4
April,1965,15.8
May,1965,13.1
June,1965,10.6
July,1965,8.8
August,1965,10.4
September,1965,12.7
October,1965,13.2
November,1965,15.1
December,1965,17.6
January,1966,19.2
February,1966,21.2
March,1966,19.2
April,1966,16.2
May,1966,12.3
June,1966,10.6
July,1966,10.2
August,1966,9.7
September,1966,12.2
October,1966,13.6
November,1966,15.4
December,1966,16.9
January,1967,18.1
February,1967,18.5
March,1967,18.7
April,1967,16.3
May,1967,13.5
June,1967,9.7
July,1967,10.2
August,1967,12.5
September,1967,12.2
October,1967,15.2
November,1967,16.4
December,1967,17.8
January,1968,18.5
February,1968,18.8
March,1968,20.4
April,1968,15.9
May,1968,13.4
June,1968,11.6
July,1968,10.1
August,1968,11.2
September,1968,11.4
October,1968,13
November,1968,14.5
December,1968,16.8
January,1969,18.2
February,1969,18.5
March,1969,17.1
April,1969,15.1
May,1969,13.4
June,1969,10.6
July,1969,8.7
August,1969,10.8
September,1969,13.2
October,1969,13
November,1969,16.5
December,1969,19.3
January,1970,20.7
February,1970,19.6
March,1970,19.5
April,1970,16.9
May,1970,12.8
June,1970,11.3
July,1970,10.9
August,1970,11.6
September,1970,13.1
October,1970,14.9
November,1970,16.4
December,1970,18.7
January,1971,21.1
February,1971,20.9
March,1971,18.2
April,1971,16.7
May,1971,13.9
June,1971,13.4
July,1971,10.2
August,1971,12.3
September,1971,12.9
October,1971,14.3
November,1971,16.1
December,1971,18.4
January,1972,18.8
February,1972,18.9
March,1972,19.5
April,1972,16.6
May,1972,13.5
June,1972,10
July,1972,10.9
August,1972,10.1
September,1972,13.1
October,1972,14.6
November,1972,18
December,1972,17
January,1973,19.5
February,1973,19.4
March,1973,19.1
April,1973,16.2
May,1973,14.2
June,1973,12
July,1973,10
August,1973,11.8
September,1973,13.3
October,1973,14.7
November,1973,17
December,1973,18.6
January,1974,19.3
February,1974,22.2
March,1974,17.9
April,1974,16.9
May,1974,13.8
June,1974,11.6
July,1974,11.8
August,1974,11.5
September,1974,13.1
October,1974,14.3
November,1974,17.1
December,1974,19.1
January,1975,20.4
February,1975,20.4
March,1975,19.4
April,1975,16.3
May,1975,15
June,1975,10.3
July,1975,9.9
August,1975,11.6
September,1975,12.9
October,1975,14.7
November,1975,15.5
December,1975,16.9
January,1976,19.4
February,1976,17
March,1976,18.6
April,1976,16.1
May,1976,12.5
June,1976,10.2
July,1976,10.1
August,1976,12.2
September,1976,12.2
October,1976,14
November,1976,15
December,1976,17.6
January,1977,18.5
February,1977,19.8
March,1977,19.3
April,1977,16.3
May,1977,11.6
June,1977,11.5
July,1977,11
August,1977,11.1
September,1977,10.6
October,1977,13.5
November,1977,14.6
December,1977,16.6
January,1978,19.7
February,1978,21
March,1978,19.1
April,1978,17.8
May,1978,13.3
June,1978,11.2
July,1978,10.5
August,1978,11.1
September,1978,12.6
October,1978,13
November,1978,16.1
December,1978,17.9
January,1979,20.2
February,1979,19.3
March,1979,19.6
April,1979,16
May,1979,13.5
June,1979,12.5
July,1979,10.7
August,1979,11.5
September,1979,12.9
October,1979,14.3
November,1979,16.3
December,1979,17.8
January,1980,19.4
February,1980,19.6
March,1980,17.3
April,1980,15
May,1980,13.4
June,1980,11.4
July,1980,10.4
August,1980,10.4
September,1980,13.1
October,1980,14.9
November,1980,15.4
December,1980,17.4
January,1981,20.6
February,1981,20.4
March,1981,20.6
April,1981,17.1
May,1981,13.5
June,1981,12.4
July,1981,10.3
August,1981,10.8
September,1981,12.3
October,1981,13.7
November,1981,15.9
December,1981,19.1
January,1982,19.9
February,1982,20.5
March,1982,17.8
April,1982,14.7
May,1982,13.5
June,1982,9.9
July,1982,9.5
August,1982,10.9
September,1982,12.2
October,1982,13
November,1982,16.7
December,1982,17.1
January,1983,18.3
February,1983,18.6
March,1983,18.9
April,1983,16.1
May,1983,13
June,1983,11.5
July,1983,8.8
August,1983,11.1
September,1983,13.4
October,1983,14.9
November,1983,15.7
December,1983,17
January,1984,17.8
February,1984,19.2
March,1984,19
April,1984,15.5
May,1984,13
June,1984,11.8
July,1984,11.2
August,1984,12.4
September,1984,12.4
October,1984,13.8
November,1984,17.2
December,1984,19.4
January,1985,20.2
February,1985,19.4
March,1985,18.2
April,1985,15.6
May,1985,12.3
June,1985,12.4
July,1985,12
August,1985,10.9
September,1985,13.2
October,1985,13.5
November,1985,15.9
December,1985,18.8
January,1986,20.7
February,1986,20
March,1986,18.2
April,1986,16.6
May,1986,13.9
June,1986,11.4
July,1986,9.8
August,1986,10.7
September,1986,12.6
October,1986,15
November,1986,16.2
December,1986,17.6
January,1987,20.3
February,1987,18.8
March,1987,17.4
April,1987,15.9
May,1987,13.3
June,1987,11.7
July,1987,11.1
August,1987,12
September,1987,12.9
October,1987,14.8
November,1987,16.4
December,1987,18.2
January,1988,18.9
February,1988,20.5
March,1988,17.9
April,1988,15.5
May,1988,14.3
June,1988,11.9
July,1988,11.7
August,1988,12.3
September,1988,13.9
October,1988,15
November,1988,16.9
December,1988,18.9
January,1989,20.2
February,1989,19.9
March,1989,19.4
April,1989,16.8
May,1989,14
June,1989,12.1
July,1989,10.1
August,1989,11.8
September,1989,14.2
October,1989,15.9
November,1989,17.3
December,1989,18.2
January,1990,20.1
February,1990,22.1
March,1990,20.3
April,1990,17.6
May,1990,14.7
June,1990,11.4
July,1990,11.9
August,1990,12.2
September,1990,12.2
October,1990,15.7
November,1990,17
December,1990,19
January,1991,19.8
February,1991,20.4
March,1991,18.3
April,1991,16
May,1991,13.4
June,1991,11.7
July,1991,10.4
August,1991,12.4
September,1991,13.8
October,1991,14.5
November,1991,15.2
December,1991,18
